,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,591.1878051757812,866.6854248046875,0.9548298716545105,538.6787719726562,917.3441772460938,0.999975323677063,468.49456787109375,982.638671875,0.9998769760131836,168.81583452524023,False,NE,0.0
5,454.26202392578125,983.3709716796875,0.08491820842027664,525.718994140625,926.64208984375,0.9998853206634521,592.458251953125,895.3488159179688,0.9997147917747498,163.84778712550826,False,SW,179.90049032851655
10,450.2193908691406,983.65966796875,0.9261693954467773,525.3679809570312,930.9668579101562,0.9999737739562988,594.3646240234375,898.5755004882812,0.9999877214431763,167.38328410253834,False,SW,4.052928271998159
15,427.4190979003906,932.3412475585938,0.9999743700027466,512.072509765625,935.4761352539062,0.9999797344207764,583.64208984375,912.977294921875,0.9998600482940674,157.4185054987247,False,W,56.15544170295851
20,366.2485046386719,912.0698852539062,0.9998681545257568,449.6283264160156,929.7164916992188,0.999901533126831,381.6299133300781,901.9561157226562,0.06667681038379669,18.408586786152505,False,W,64.44198638836745
25,319.7189636230469,911.920166015625,0.9999823570251465,410.692626953125,926.2544555664062,0.9998691082000732,493.8534851074219,936.4725341796875,0.9997001886367798,175.85690306341667,False,W,46.529781892622715
30,281.0084228515625,910.1092529296875,0.9996026158332825,373.2506408691406,920.45068359375,0.9997124075889587,462.0754699707031,938.3023681640625,0.010629518888890743,183.24881254475795,False,W,38.752875674271884
35,271.20709228515625,921.5553588867188,0.9998455047607422,365.57647705078125,918.4833984375,0.9999063014984131,449.7463684082031,917.0700073242188,0.999728262424469,178.59560884070135,False,W,15.069154669441671
40,256.4734191894531,960.1800537109375,0.9990723133087158,351.61053466796875,928.4773559570312,0.9999403953552246,428.5544738769531,926.0143432617188,0.9878042936325073,175.43997592584827,False,W,41.339426376705774
45,215.07986450195312,963.4964599609375,0.9858323335647583,304.62213134765625,935.4750366210938,0.9999517202377319,390.7867126464844,928.2021484375,0.9995070695877075,179.21658659509956,False,W,41.52619558883395
50,174.79273986816406,964.0988159179688,0.9866980910301208,270.68463134765625,937.2056884765625,0.9998088479042053,354.8827819824219,912.7114868164062,0.9990641474723816,187.27808430488454,False,W,40.29162746722233
55,132.27066040039062,951.4375610351562,0.9993451237678528,220.52037048339844,936.9269409179688,0.9996832609176636,313.4449768066406,933.9520263671875,0.9997099041938782,182.01614447047473,False,W,44.367044272423456
60,87.53663635253906,948.00390625,0.9996161460876465,183.74935913085938,935.9550170898438,0.9997400641441345,275.39056396484375,930.8063354492188,0.9992647767066956,188.63948303792844,False,W,44.86560924246308
65,64.72309875488281,958.3369750976562,0.930824875831604,160.73939514160156,934.8720703125,0.9999481439590454,246.58334350585938,921.7611694335938,0.9994857311248779,185.50185492565933,False,W,25.044556484994487
70,222.15541076660156,923.1341552734375,0.9992545247077942,139.84194946289062,938.0046997070312,0.9995798468589783,44.70105743408203,948.8753051757812,0.04779630899429321,179.31161232602204,False,E,161.3200898491306
75,41.844581604003906,925.6834716796875,0.9964686632156372,132.91787719726562,936.642822265625,0.9998899698257446,210.7910919189453,936.74169921875,0.6000503301620483,169.30802622410516,False,W,180.32884995874247
80,50.31162643432617,902.201904296875,0.9994120597839355,124.93024444580078,935.6220703125,0.9977821707725525,191.7943115234375,920.5986938476562,0.013576580211520195,142.67372584256844,False,NW,24.961467403024425
85,191.64483642578125,931.973388671875,0.6532559990882874,129.85675048828125,930.0096435546875,0.9980311989784241,66.69728088378906,912.0474853515625,0.09355678409337997,126.5264132861185,False,E,144.43482103834796
90,174.25616455078125,952.1874389648438,0.7709030508995056,134.58058166503906,923.3458251953125,0.9662821292877197,75.78581237792969,915.7403564453125,0.1055091843008995,104.99904800154586,False,SE,26.66409081185942
95,81.9457015991211,931.88671875,0.0221620574593544,143.54498291015625,918.7099609375,0.10089648514986038,80.0657730102539,936.0358276367188,0.0007952379528433084,4.555132934732935,False,W,94.51635208571683
100,2.34843111038208,-3.6457343101501465,7.203034328995273e-05,158.81936645507812,900.8800659179688,0.00035618062247522175,1.1453585624694824,-0.6164560317993164,0.00012717393110506237,3.2594340679371134,False,N,938.9125072114012
105,201.0196990966797,898.1593627929688,0.0005256684962660074,163.66253662109375,905.4177856445312,0.0036317361518740654,1.2933614253997803,0.14472746849060059,0.00010742205631686375,919.9570072653056,False,E,923.4298597535435
110,1.8117773532867432,-4.128599166870117,6.024432514095679e-05,166.78515625,898.1273803710938,0.00023297962616197765,1.0435290336608887,0.7830133438110352,0.00011172188533237204,4.971332108769999,False,N,924.016970830602
115,212.08189392089844,947.4141235351562,0.0026994708459824324,186.74391174316406,895.2379760742188,0.0005645057535730302,1.53171968460083,0.5780858993530273,0.00013655293150804937,969.9638436750122,False,SE,974.4983709830111
